username,password,repassword,firstname,lastname,phoneNumber
19127338_20,Hcmus123.,Hcmus123.,Le,A,909456324
19127338_21,Hcmus123.,Hcmus123.,Tran,B,909456325
19127338_22,Hcmus123.,Hcmus123.,Nguyen,C,909456326
19127338_23,Hcmus123.,Hcmus123.,Le,D,909456327
19127338_24,Hcmus123.,Hcmus123.,Tran,E,909456328
19127338_25,Hcmus123.,Hcmus123.,Nguyen,F,909456329
19127338_26,Hcmus123.,Hcmus123.,Le,G,909456330
19127338_27,Hcmus123.,Hcmus123.,Tran,H,909456331
19127338_28,Hcmus123.,Hcmus123.,Nguyen,I,909456332
19127338_29,Hcmus123.,Hcmus123.,Le,J,909456333
19127338_30,Hcmus123.,Hcmus123.,Tran,K,909456334
